year,title,imdb_rating,imdb_rating_0_1,num_imdb_ratings,mpaa_rating,run_time_min,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013
2012,Django Unchained,8.4,0.8400000000000001,1065727,R,165,100000000,162805434,425373688,101463857,165188672,431600549
2012,Flight,7.3,0.73,280117,R,138,31000000,93772375,161772375,31453796,95145068,164140491
2012,Frankenweenie,7,0.7,80687,PG,87,39000000,35287788,81150788,39570904,35804351,82338719
2012,Hannibal,8.6,0.86,179437,TV-14,NA,87000000,165092266,350100280,88273555,167508980,355225246
2012,Hotel Transylvania,7.1,0.71,180276,PG,91,85000000,148313048,359222014,86244278,150484138,364480509
2012,Jack Reacher,7,0.7,256365,PG-13,130,60000000,80070736,217370736,60878314,81242857,220552732
2012,Jagten,8.3,0.8300000000000001,199825,R,115,3450000,687185,687185,3500503,697244,697244
2012,John Carter,6.6,0.6599999999999999,223717,PG-13,132,275000000,73058679,282778100,279025606,74128153,286917566
2012,Killing Them Softly,6.2,0.62,117525,R,97,15000000,14945541,37238774,15219578,15164322,37783896
2012,Les Miserables,7.6,0.76,261448,PG-13,158,65000000,148809770,442022894,65951507,150988132,448493475
2012,Life of Pi,7.9,0.79,481057,PG,127,120000000,124987022,607987022,121756628,126816653,616887080
2012,Lincoln,7.4,0.74,210721,PG-13,150,65000000,182207973,273000960,65951507,184875236,276997302
2012,Madagascar 3: Europe's Most Wanted,6.9,0.6900000000000001,129942,PG,93,145000000,216391482,746921271,147122592,219559143,757855127
2012,Men in Black III,6.8,0.6799999999999999,282303,PG-13,106,215000000,179020854,624821154,218147292,181641463,633967639
2012,Mirror Mirror,5.6,0.5599999999999999,74563,PG,106,85000000,64935167,168611991,86244278,65885725,171080229
2012,Moonrise Kingdom,7.8,0.78,260202,PG-13,94,16000000,45512466,64012466,16234217,46178703,64949517
2012,Much Ado About Nothing,7.2,0.72,14651,PG-13,109,8000000,22549338,22549338,8117109,22879428,22879428
2012,One for the Money,5.3,0.53,36099,PG-13,91,42000000,26414527,36197221,42614820,26801198,36727096
2012,Paranormal Activity 4,4.6,0.45999999999999996,54170,R,88,5000000,53900335,142793842,5073193,54689359,144884139
2012,ParaNorman,7,0.7,79301,PG,92,60000000,56003051,108159011,60878314,56822855,109742304
2012,Parental Guidance,6.1,0.61,22333,PG,105,25000000,77267296,120168633,25365964,78398378,121927729
2012,People Like Us,7.1,0.71,36455,PG-13,114,16000000,12431792,12431792,16234217,12613776,12613776
2012,Pitch Perfect,7.2,0.72,231091,PG-13,112,17000000,65001093,115331177,17248856,65952616,117019460
2012,Premium Rush,6.5,0.65,100108,PG-13,91,35000000,20275446,31393201,35512350,20572249,31852752
2012,Red Dawn,5.4,0.54,65349,PG-13,93,65000000,44806783,48164150,65951507,45462690,48869204
2012,Red Tails,5.9,0.5900000000000001,30047,PG-13,125,58000000,49876377,50365498,58849037,50606496,51102777
2012,Rise of the Guardians,7.3,0.73,132942,PG,97,145000000,103412758,306900902,147122592,104926572,311393491
2012,Rock of Ages,5.9,0.5900000000000001,65394,PG-13,123,70000000,38518613,50118613,71024700,39082470,50852278
2012,Safe,6.5,0.65,89592,R,94,33000000,17142080,41495213,33483073,17393015,42102643
2012,Safety Not Guaranteed,7,0.7,106355,R,86,750000,4010957,4413188,760979,4069672,4477791
2012,Seven Psychopaths,7.2,0.72,200116,R,110,13500000,15024049,23492318,13697621,15243980,23836212
2012,Silent Hill: Revelation 3D,5,0.5,52910,R,95,20000000,17530219,47944599,20292771,17786836,48646439
2012,Silver Linings Playbook,7.8,0.78,573607,R,122,21000000,132092958,227317397,21307410,134026609,230644998
2012,Sinister,6.8,0.6799999999999999,176807,R,110,3000000,48086903,87727807,3043916,48790826,89012016
